"","logFC","logCPM","PValue","FDR"
"TRINITY_DN15_c0_g1_i6",1.15634011778526,9.65310350017388,0.032998551233146,0.116212289125427
"TRINITY_DN8_c0_g1_i6",-1.85980831339527,9.25602604799227,0.0418920475381061,0.141385660441108
"TRINITY_DN17_c0_g2_i1",1.19974507731763,8.82458807194192,0.0464673170328313,0.150554107186373
"TRINITY_DN15_c0_g1_i8",-4.64276396179616,5.37624222671926,0.0529055730035178,0.162204389614767
"TRINITY_DN16_c0_g1_i5",0.644297888688077,12.9235287699604,0.0540681298715891,0.162204389614767
"TRINITY_DN14_c0_g1_i1",0.531261499479546,13.2730031171478,0.0600265470691675,0.173648225450092
"TRINITY_DN5_c0_g1_i1",3.70906679796311,5.03370262704068,0.0638350115564765,0.178297790899124
"TRINITY_DN16_c0_g2_i2",0.993664244990668,9.34358122153912,0.0694733065654649,0.187577927726755
"TRINITY_DN8_c0_g1_i4",-1.45590182679673,11.4755195189187,0.0900565936602553,0.235309164080022
"TRINITY_DN11_c0_g1_i2",-0.127210217363508,14.5210492463618,0.111848919381294,0.2831175771839
"TRINITY_DN8_c0_g1_i13",-1.17180013940375,11.1910139231525,0.122411891346164,0.300465551486039
"TRINITY_DN16_c0_g1_i4",0.473546571496758,12.0919754575243,0.130642679566787,0.31123697190911
"TRINITY_DN8_c0_g1_i20",-3.27162340699679,4.9151196017801,0.141404962760165,0.319713361812034
"TRINITY_DN11_c0_g1_i1",0.617763991581457,11.8809044172608,0.142094827472015,0.319713361812034
"TRINITY_DN13_c0_g1_i1",-0.0983292615322669,15.8108446543188,0.206113517314791,0.451221483851299
"TRINITY_DN15_c0_g1_i5",-4.12204360834845,5.15479704802374,0.225409942160575,0.480479087237014
"TRINITY_DN16_c0_g2_i1",0.575982830449527,8.51230338431074,0.249778868356386,0.51877149581711
"TRINITY_DN8_c0_g1_i3",1.28991583401367,10.2258190489637,0.339192662234956,0.667464946980924
"TRINITY_DN2_c0_g1_i1",0.528683702767134,9.08412578616352,0.341451933835248,0.667464946980924
"TRINITY_DN6_c0_g1_i2",-1.19152936004188,6.24416050527484,0.34609293547159,0.667464946980924
"TRINITY_DN8_c0_g1_i19",-1.46332742499471,5.3468571148274,0.422802227797408,0.79644140585093
"TRINITY_DN11_c0_g2_i1",0.397138793730335,10.9018703146183,0.469184772497226,0.820072887890798
"TRINITY_DN15_c0_g1_i4",-1.76746174949158,5.58716128874019,0.477960736913464,0.820072887890798
"TRINITY_DN8_c0_g1_i7",-0.273788843260413,11.9247494240473,0.485774036055347,0.820072887890798
"TRINITY_DN8_c0_g1_i16",0.762698066988,8.96511595290244,0.493409165846752,0.820072887890798
"TRINITY_DN8_c0_g1_i11",-0.692798388209118,11.46600973404,0.510252779915171,0.820072887890798
"TRINITY_DN12_c0_g1_i1",0.0502699610704698,17.0745621079722,0.514410119686228,0.820072887890798
"TRINITY_DN15_c0_g2_i1",1.96558020379053,4.70142197019704,0.540158970075043,0.820072887890798
"TRINITY_DN8_c0_g1_i22",0.822600894574788,10.5532380137679,0.549504467996033,0.820072887890798
"TRINITY_DN16_c0_g1_i2",1.95993282081355,4.70168823885542,0.553862580085049,0.820072887890798
"TRINITY_DN15_c0_g1_i1",-1.51677970859825,5.21438761834852,0.556341444003395,0.820072887890798
"TRINITY_DN12_c0_g2_i1",0.335713598165734,9.22526025145764,0.556798893218749,0.820072887890798
"TRINITY_DN8_c0_g1_i17",0.54551468153985,10.8324603696024,0.556839615234493,0.820072887890798
"TRINITY_DN8_c0_g1_i12",-0.361605452372223,10.5690553163991,0.573031952583011,0.82884978855757
"TRINITY_DN16_c0_g2_i3",0.8693131774253,6.3914190569538,0.632287761038138,0.898514186738406
"TRINITY_DN14_c0_g2_i1",1.2970773315744,4.8787653482871,0.693353468055136,0.968303981249414
"TRINITY_DN8_c0_g1_i21",-0.571951641613518,6.44152575747232,0.714783750399919,0.978754997549487
"TRINITY_DN10_c0_g1_i1",0.203602476319647,7.9916197786275,0.725003701888509,0.978754997549487
"TRINITY_DN13_c0_g1_i2",-0.157477030719512,9.64460618506376,0.766687101998545,1
"TRINITY_DN8_c0_g1_i9",1.24726135016301,4.87855682341004,0.792566887722846,1
"TRINITY_DN24_c0_g1_i1",-0.594505638953677,5.00411069048035,0.807031327800947,1
"TRINITY_DN6_c0_g1_i1",-0.135923728484552,9.93274099677881,0.816526771683939,1
"TRINITY_DN8_c0_g1_i18",0.14812216247116,10.4943420850227,0.875664907680601,1
"TRINITY_DN15_c0_g1_i2",-0.326361955386979,5.32616726152212,0.924932814351324,1
"TRINITY_DN7_c0_g1_i1",-0.0465214692071632,11.145211963367,0.93421501297643,1
"TRINITY_DN8_c0_g1_i2",-0.0689672945624201,9.47937125717329,0.958553377737623,1
"TRINITY_DN20_c0_g1_i1",0.173280994926247,4.86641344988572,0.999999999999998,1
"TRINITY_DN3_c0_g1_i1",1.30383073439594,4.64041397573888,1,1
"TRINITY_DN8_c0_g1_i10",0.220364062170481,5.54225245621155,1,1
